,id,pmid,source,doi,authors,journal,title,abstract,year,language
0,1,39714511,web_of_science,10.1007/s00402-024-05639-1,"Butt, U; Vuletic, F; Shaikh, MAA; Amanullah; Rehman, GU; Shah, IA; Stålman, A; Khan, ZA",ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial,"Aims This study presents clinical outcomes, functional results, and return to sports after anterior cruciate ligament (ACL) reconstruction using quadruple hamstring tendon autograft or peroneus longus tendon autograft in a randomized controlled trial. Patients and methods Between February 2018 and July 2019, patients who underwent ACL reconstruction were randomly assigned to two groups: hamstring and peroneus longus. Patient related outcome measurements and pain intensity were evaluated using IKDC, Lysholm, and visual analog scores at 3 and 6 months, 1, 2, and 5 years after the surgery. At the 5 year follow-up, anterior stability was tested using the 3D printable Knee Arthrometer. In addition, in the peroneus longus group, ankle functional assessment was performed using the American foot and ankle score. Additionally, data on the return to sports/activities was collected for both groups at the last follow-up. Results Sixty patients, with 30 in the hamstring group and 30 in the peroneus group, were included in the study. Patients were predominately male and with low activity demands. After five years of follow-up, there was no significant difference in functional assessment scores (IKDC and Lysholm) between the two groups (P n.s). The median graft diameter was 7.9 +/- 0.4 mm in the hamstring tendon group and 8.9 +/- 0.2 mm in the PL group (P < 0.001). The improvement in Arthrometer testing measurements (AMT) for the operated knees in the hamstring and peroneus longus groups were similar. In the peroneus longus group, the mean postoperative foot and ankle score was 98.6 +/- 3.9 (range = 85-100). Conclusion Using Peroneus longus tendon autograft for arthroscopic ACL reconstruction is a feasible alternative as studied in this cohort of predominately male patients with low activity demands. The graft diameter in this study was sufficient, and the results regarding laxity and patient related outcome measurements were similar to those achieved with hamstring tendon autografts.",2024,English
1,2,38755499,web_of_science,10.1007/s00590-024-03984-w,"Park, JY; Fernandes, A; Park, SY; Lim, H; Sayudo, IF; Leibovitch, L; Machinski, E; Ha, J",EUROPEAN JOURNAL OF ORTHOPAEDIC SURGERY AND TRAUMATOLOGY,Comparative effectiveness of peroneus longus tendon (PLT) autografts versus hamstring tendon (HT) autografts in anterior cruciate ligament reconstruction: a comprehensive systematic review and meta analysis,"The hamstring tendon (HT) autograft is currently the most widely utilised autograft option for anterior cruciate ligament (ACL) reconstruction. However, recent studies endorse the peroneus longus tendon (PLT) autograft as a viable alternative. To evaluate this, we systematically reviewed randomised controlled trials (RCTs) to compare the efficacy of PLT against HT autografts. Our search encompassed Cochrane, Embase, OVID, PubMed, and Scopus databases for RCTs comparing outcomes of PLT and HT autografts in ACL reconstruction. Primary outcomes included Lysholm and International Knee Documentation Committee (IKDC) scores, while secondary outcomes involved American Orthopaedic Foot and Ankle Society (AOFAS) scores, graft diameters and donor-site complications. Statistical analysis was performed using Review Manager 5.4 (Cochrane Collaboration) and heterogeneity was assessed with I2 statistics. 683 patients from 6 RCTs were included, with 338 (49.5%) patients treated with PLT autografts. Follow-up ranged from 12 to 30 months. Despite lower preoperative Lysholm scores in the PLT group, no significant differences were observed at 6 and 12 months. Although preoperative and 6-month IKDC scores were lower in the PLT group, no significant differences were found at 12 and 24 months. AOFAS scores showed no significant preoperative difference, but slightly lower scores were noted in the PLT group at 12 or 24 months. There was no significant difference in graft diameter, while donor-site complications were fewer in the PLT group. In summary, the PLT autograft is a promising and non-inferior alternative to the HT autograft, demonstrating equivalent outcomes in patient-reported knee and ankle metrics, comparable graft diameters and fewer donor-site complications.",2024,English
2,3,37898307,web_of_science,10.1016/j.arthro.2023.10.016,"Quinn, M; Albright, A; Testa, E; Ahn, B; Lemme, N; Petit, L; Blankenhorn, B; Owens, BD",ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,Peroneus Longus Tendon Autograft May Present a Viable Alternative for Anterior Cruciate Ligament Reconstruction: A Systematic Review,"Purpose: To examine the available literature to better understand the objective and patient-reported outcomes using peroneus longus tendon (PLT) autograft compared with more commonly used autografts, such as the quadrupled hamstring tendons (HT), in patients undergoing primary for anterior cruciate ligament reconstruction (ACLR). Methods: A comprehensive search of published literature in PubMed, Web of Science, Cochrane Library, Ovid, and EMBASE databases was performed according to Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. Inclusion criteria included patients undergoing ACLR with PLT autograft, inclusion of patient-recorded outcome measures, and availability in English language. Publications that included only biomechanical analysis or ACLR with use of allograft or combination grafts were excluded. Results: A total of 16 studies (Level of Evidence range: I-IV) met inclusion criteria, with follow-up ranging from 3 months to 5 years. In the available case series, patient-reported outcomes ranged from Lysholm = 80.7 to 95.1, International Knee Documentation Committee 78.1 to 95.7. In prospective cohorts and randomized controlled trials, PLT performance was comparable with HT autografts (PLT/HT: Lysholm = 88.3-95.1/86.5-94.9, International Knee Documentation Committee = 78.2-92.5/87.4-93.4). The majority of PLT grafts diameters were equal or greater than HT counterparts with a mean of >8 mm (PLT/HT: 7.0-9.0 mm/7.65-8.5 mm). There was minimal donor-site morbidity associated with PLT harvest. Conclusions: Although limitations exist within the available literature, existing evidence suggests that PLT autograft routinely produces adequately sized grafts with comparable early outcomes to HT autograft and low risk of donor-site morbidity. However, the PLT autograft is yet to demonstrate superiority to any of the more-traditional autograft selections.",2024,English
3,4,38488226,web_of_science,10.1002/ksa.12127,"Delcogliano, M; Sangiorgio, A; Bensa, A; Andriolo, L; Boffa, A; Filardo, G",KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,Platelet-rich plasma augmentation in anterior cruciate ligament reconstruction: Evidence is still too scattered. A scoping review of randomised controlled trials,"Purpose: Platelet-rich plasma (PRP) augmentation has been proposed to improve the results of anterior cruciate ligament reconstruction (ACLR). The present study aims to quantify the available evidence to support the use of PRP as biological augmentation in ACLR surgery. Methods: A systematic literature search was conducted on the PubMed, Cochrane, Web of Science and Embase databases on 10 March 2023. Inclusion criteria were randomised controlled trials (RCTs), written in English, addressing PRP augmentation in ACLR surgery, with no time limitation. A scoping review was performed to map the body of literature by examining the evidence related to specific aspects of patients' treatment and evaluation. Risk of bias evaluation was performed with the Cochrane risk-of-bias tool for randomised trials Version 2 (RoB 2), while the quality assessment was performed with the use of the Coleman Score. Results: Out of 983 articles retrieved, 23 RCTs on 943 knees were included in this scoping review. PRP was administered in a liquid form in nine studies and clotted in 11 studies, while in three studies both liquid and clotted PRP were used. Hamstring auto/allografts were used in 14 studies, patellar tendon auto/allografts were used in eight studies and one study described ACLR with peroneus longus allografts. The map of the evidence documented high heterogeneity also in terms of surgical technique, objective and subjective outcome measures and radiological assessment, as well as follow-up times ranging from 1 day to 2 years, with virtually no overlapping data among studies neither in terms of treatments nor evaluations. Risk of bias evaluation showed an overall low quality of the included studies. Conclusions: The available literature addressing PRP augmentation in ACLR is largely scattered. PRP was produced and applied following different procedures, and high variability was detected across the included studies for every aspect of ACLR surgery and evaluation. Currently, a meaningful comparison of the available studies is not possible as the quantification of the literature results is biased by their heterogeneity. Future studies should provide more standardisation to investigate the benefits of biological augmentation in ACL surgery and confirm the promising yet weak evidence of PRP potential as well as the most suitable application modality, before routine use in clinical practice.",2024,English
