,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract,year,authors,first_author,second_author,number_of_authors,study
32,34151401,2021 Aug,,Eur J Orthop Surg Traumatol,"['Migliorini F', 'Eschweiler J', 'Mansy YE', 'Quack V', 'Tingart M', 'Driessen A']",Driessen A,Correction to: Quadriceps tendon autograft for primary ACL reconstruction: a Bayesian network meta-analysis.,31,6,1261,['English'],9518037,1633-8065,1432-1068,['Published Erratum'],PubMed,ppublish,"['34151401', 'PMC8282582', 'pmc-id: PMC8282582;', '10.1007/s00590-021-03028-7', '10.1007/s00590-021-03028-7']",10.1007/s00590-021-03028-7,"['2021/06/22 06:00', '2021/06/22 06:01', '2021/06/21 06:11', '2021/06/21 00:00']",['Eur J Orthop Surg Traumatol. 2020 Oct;30(7):1129-1138. doi: 10.1007/s00590-020-02680-9. PMID: 32367221'],0,0,European journal of orthopaedic surgery & traumatology : orthopedie traumatologie,doi: 10.1007/s00590-021-03028-7,2021 Aug;31(6):1261,,2021,"Migliorini F, Eschweiler J, Mansy YE, Quack V, Tingart M, Driessen A",Migliorini,Eschweiler,6,"Migliorini et al., 2021"
33,33515736,2021 Apr,2021 Jan 28,Arthroscopy,"['Davey MS', 'Hurley ET', 'Anil U', 'Moses A', 'Thompson K', 'Alaia M', 'Strauss EJ', 'Campbell KA']",Campbell KA,Pain Management Strategies After Anterior Cruciate Ligament Reconstruction: A Systematic Review With Network Meta-analysis.,37,4,1290-1300.e6,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Systematic Review', 'Network Meta-Analysis']",PubMed - indexed for MEDLINE,ppublish+epublish,"['33515736', '10.1016/j.arthro.2021.01.023', 'S0749-8063(21)00037-2']",10.1016/j.arthro.2021.01.023,"['2020/09/09 00:00', '2021/01/05 00:00', '2021/01/05 00:00', '2021/01/31 06:00', '2021/06/10 06:00', '2021/01/30 20:09']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2021.01.023,2021 Apr;37(4):1290-1300.e6,"PURPOSE: To systematically review randomized controlled trials (RCTs) evaluating various pain control interventions after anterior cruciate ligament reconstruction (ACLR) to determine the best-available evidence in managing postoperative pain and to optimize patient outcomes. METHODS: A systematic review of the literature was performed based on the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-analyses) guidelines. A study was included if it was an RCT evaluating an intervention to reduce postoperative pain acutely after ACLR in one of the following areas: (1) nerve blocks, (2) nerve block adjuncts, (3) intra-articular injections, (4) oral medications, (5) intravenous medications, (6) tranexamic acid, and (7) compressive stockings and cryotherapy. Quantitative and qualitative statistics were carried out, and network meta-analysis was performed where applicable. RESULTS: Overall, 74 RCTs were included. Across 34 studies, nerve blocks were found to significantly reduce postoperative pain and opioid use, but there was no significant difference among the various nerve blocks in the network meta-analysis. Intra-articular injections consisting of bupivacaine and an adjunct were found to reduce reported postoperative pain scores up to 12 hours after ACLR, with significantly lower postoperative opioid use. CONCLUSIONS: Nerve blocks and regional anesthesia are the mainstay treatment of postoperative pain after ACLR, with the commonly used nerve blocks being equally efficacious. Intra-articular injections consisting of bupivacaine and an adjunct were found to reduce reported postoperative pain scores up to 12 hours after ACLR, with significantly lower postoperative opioid use. There was promising evidence for the use of some oral and intravenous medications, tranexamic acid, and nerve block adjuncts, as well as cryotherapy, to control pain and reduce postoperative opioid use. LEVEL OF EVIDENCE: Level II, systematic review and meta-analysis of RCTs.",2021,"Davey MS, Hurley ET, Anil U, Moses A, Thompson K, Alaia M, Strauss EJ, Campbell KA",Davey,Hurley,8,"Davey et al., 2021"
34,33483768,2021 Nov,2021 Jan 23,Knee Surg Sports Traumatol Arthrosc,"['Hurley ET', 'Bloom DA', 'Hoberman A', 'Anil U', 'Gonzalez-Lomas G', 'Strauss EJ', 'Alaia MJ']",Alaia MJ,There are differences in knee stability based on lateral extra-articular augmentation technique alongside anterior cruciate ligament reconstruction.,29,11,3854-3863,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Review', 'Network Meta-Analysis']",PubMed - indexed for MEDLINE,ppublish+epublish,"['33483768', '10.1007/s00167-020-06416-4', '10.1007/s00167-020-06416-4']",10.1007/s00167-020-06416-4,"['2020/06/09 00:00', '2020/12/10 00:00', '2021/01/24 06:00', '2021/10/16 06:00', '2021/01/23 05:39']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1007/s00167-020-06416-4,2021 Nov;29(11):3854-3863,"PURPOSE: The purpose of the current study is to systematically review and network meta-analyze the current evidence in the literature to ascertain if there is a superior lateral extra-articular augmentation technique in conjunction with anterior cruciate ligament (ACL) reconstruction (ACL.R) with respect to knee stability, re-rupture rates and functional outcomes. METHODS: The literature search was performed based on the PRISMA guidelines. Cohort studies comparing ACL.R to ACL.R + lateral extra-articular augmentation were included. Lateral extra-articular techniques included were anterolateral ligament reconstruction (ALL.R), Cocker-Arnold, Lemaire, Losee, Maraccaci, and McIntosh. Clinical outcomes were compared between ACL.R alone and the different lateral extra-articular augmentation techniques using a frequentist approach to network meta-analysis, with statistical analysis performed using R. The treatment options were ranked using the P-Score. RESULTS: Twenty-eight studies with a total of 2990 patients were included. ACL.R + Cocker-Arnold technique had the highest P-Score for ACL re-ruptures and residual pivot-shift. ACL.R + Cocker-Arnold, Lemaire, and ALL.R all significantly reduced the rate of ACL re-rupture, and residual pivot-shift, compared to ACL.R alone. There was no significant difference between any of the lateral extra-articular augmentation techniques and ACL.R alone. ALL.R had the highest P-Score for return to play, and return to play at pre-injury level. CONCLUSION: This study established that ACL.R + Cocker-Arnold, Lemaire and ALL.R resulted in significantly lower ipsilateral ACL re-ruptures, as well as reduced pivot-shift, compared to ACL.R alone. Whereas, the other lateral extra-articular augmentation techniques did not reduce pivot-shift and re-rupture. Additionally, functional outcomes and return to play were comparable between those who underwent ACL.R and lateral extra-articular augmentation and ACL.R alone. LEVEL OF EVIDENCE: III.",2021,"Hurley ET, Bloom DA, Hoberman A, Anil U, Gonzalez-Lomas G, Strauss EJ, Alaia MJ",Hurley,Bloom,7,"Hurley et al., 2021"
35,33437619,2021 Jan,2020 Apr 11,J Orthop Translat,"['Yang W', 'Huang X', 'Wang S', 'Wang H', 'Huang W', 'Shao Z']",Shao Z,The long-term outcomes of different grafts in anterior cruciate ligament reconstruction: a network meta-analysis.,26,,16-30,['English'],101625127,2214-031X,2214-0328,"['Journal Article', 'Review']",PubMed,,"['33437619', 'PMC7773980', 'pmc-id: PMC7773980;', '10.1016/j.jot.2020.03.008', 'S2214-031X(20)30038-3']",10.1016/j.jot.2020.03.008,"['2019/10/03 00:00', '2020/03/08 00:00', '2020/03/15 00:00', '2021/01/13 06:13', '2021/01/14 06:00', '2021/01/14 06:01', '2020/04/11 00:00']",[],1,97,Journal of orthopaedic translation,doi: 10.1016/j.jot.2020.03.008,2021 Jan;26:16-30,"OBJECTIVES: To compare the long-term prognosis of patients with different types of grafts used in anterior cruciate ligament reconstruction (ACLR). METHODS: PubMed, Ovid (MEDLINE and Embase) and the Cochrane library were searched up to Feb 2020. Eligible studies about different grafts in ACLR were searched for identifying the evidence comparing the long-term (mean or median follow-up time or the general description of the follow-up time>/=2 years) knee outcomes of different grafts for ACLR. The final included articles and evaluation criteria were confirmed by the authors and senior clinicians to ensure the validity of the included articles. Lysholm score, the results of pivot shift test, Lachman test and International Knee Documentation Committee (IKDC) evaluation were selected as prognostic indicators. A Bayesian network meta-analysis was conducted. RESULTS: A total of 30 articles were included in our network meta-analysis. Finally, we found that artificial graft or augmentation can provide the not bad Lysholm score but the worse result of IKDC evaluation for patients with ACLR compared with other types of grafts. Double-bundle hamstring autograft can provide a good Lysholm score as well as lower positive rate of pivot shift test and Lachman test. Patellar tendon autograft can provide the better result of IKDC evaluation. The patients with allogeneic tendon graft may get the higher positive rate of pivot shift test and Lachman test. Patients with single-bundle hamstring autograft may get the ordinary result of IKDC evaluation and Lysholm score. CONCLUSIONS: Double-bundle hamstring autograft may be a better choice because of more items of good prognosis for the patients with ACLR. Patellar tendon autograft is a right choice which only shows the disadvantage on the Lysholm score. The prognosis of patients with single-bundle hamstring autograft is ordinary. The effect of artificial graft or augmentation needs more evidence to prove. Allogeneic tendon graft is not a better choice when compared with other grafts referred in our network meta-analysis. TRANSLATIONAL POTENTIAL STATEMENT: In this study, we made a comprehensive comparison of the grafts commonly used in anterior cruciate ligament reconstruction. The evidence presented in this study provides a reference for clinicians to select a suitable anterior cruciate ligament graft.",2021,"Yang W, Huang X, Wang S, Wang H, Huang W, Shao Z",Yang,Huang,6,"Yang et al., 2021"
36,33135006,2020 Oct,2020 Sep 25,Arthrosc Sports Med Rehabil,"['Mo Z', 'Li D', 'Yang B', 'Tang S']",Tang S,Comparative Efficacy of Graft Options in Anterior Cruciate Ligament Reconstruction: A Systematic Review and Network Meta-Analysis.,2,5,e645-e654,['English'],101765256,,2666-061X,"['Journal Article', 'Review']",PubMed,,"['33135006', 'PMC7588648', 'pmc-id: PMC7588648;', '10.1016/j.asmr.2020.05.007', 'S2666-061X(20)30049-3']",10.1016/j.asmr.2020.05.007,"['2019/08/23 00:00', '2020/05/13 00:00', '2020/11/02 06:23', '2020/11/03 06:00', '2020/11/03 06:01', '2020/09/25 00:00']",[],1,77,"Arthroscopy, sports medicine, and rehabilitation",doi: 10.1016/j.asmr.2020.05.007,2020 Oct;2(5):e645-e654,"PURPOSE: To evaluate the effectiveness of various graft options for anterior cruciate ligament reconstruction using network meta-analysis. METHODS: A medical literature search was conducted of PubMed, the Cochrane Library, Embase, SCOPUS, and Web of Science from their inception through March 1, 2019. The outcomes, including International Knee Documentation Committee (IKDC) form, Lachman test, Lysholm score, Pivot shift test, and Tegner score, were evaluated among graft options. Data extraction was carried out according to inclusion and exclusion criteria, and a network meta-analysis was performed using STATA 14.0. RESULTS: A total of 45 trials with 3992 patients were included. The forest plots revealed no significant differences in IKDC, Lysholm, or Tegner score among the grafts. In Lachman score, a significant difference was found in the comparisons of hamstring tendon allograft (HT-AL) versus patellar tendon autograft (PT-AU) and HT-AL versus hamstring tendon autograft (HT-AU). In pivot shift test, PT-AU was superior to all the other grafts, and quadriceps tendon autograft (QT-AU) was superior to HT-AL and artificial ligament (Art-L) in the number of cases with negative results. According to surface under the cumulative ranking area (SUCRA), PT-AU had the highest probability to be the best intervention in Lachman test and Tegner score; tibialis anterior tendon allograft (TA-AL) in IKDC and Lysholm score; and QT-AU in pivot shift test. Based on the cluster analysis of SUCRA, PT-AU was considered the most appropriate intervention by IKDC and Lachman test. CONCLUSION: This study suggests that PT-AU may be the most appropriate graft for ACL reconstruction according to IKDC and Lachman test results. LEVEL OF EVIDENCE: Level I, network meta-analysis of randomized controlled trials.",2020,"Mo Z, Li D, Yang B, Tang S",Mo,Li,4,"Mo et al., 2020"
37,33120810,2020 Oct 23,,Medicine (Baltimore),"['Jin JX', 'Fang PZ', 'Hu ZW', 'Chen JL', 'Wang RR', 'Wang X']",Wang X,Comparison of the effectiveness of autologous grafts for anterior cruciate ligament reconstruction: A protocol for an overview of systematic review and network meta-analysis.,99,43,e22832,['English'],2985248R,0025-7974,1536-5964,['Journal Article'],PubMed - indexed for MEDLINE,ppublish,"['33120810', 'PMC7581041', 'pmc-id: PMC7581041;', '10.1097/MD.0000000000022832', '00005792-202010230-00086']",10.1097/MD.0000000000022832,"['2020/10/30 01:01', '2020/10/31 06:00', '2021/01/01 06:00', '2020/10/23 00:00']",[],1,27,Medicine,doi: 10.1097/MD.0000000000022832,2020 Oct 23;99(43):e22832,"BACKGROUND: Anterior cruciate ligament rupture is a common motor system injury, and the most effective treatment is anterior cruciate ligament reconstruction (ACLR). Choosing the right graft is an important factor to ensure the success of the surgery. Current research shows that the clinical effect of autologous ligaments is better than that of allogeneic ligaments and artificial ligaments. However, there are differences between the autogenous ligaments, and how to choose them is still controversial. This study evaluated the published systematic reviews on the efficacy of different autologous ligament grafts in ACLR, and based on this, conducted a network meta-analysis of related randomized controlled trials. METHODS: We searched 8 international and Chinese databases including PubMed, Embase, Web of Science, and Cochrane Library. The methodological quality of systematic reviews will be evaluated by Assessing the Methodological Quality of Systematic Reviews-2 (AMSTAR2) measurement tool. Cochrane's risk of bias tool will be used to assess the risk of bias of included randomized controlled trials, and the Grading of Recommendations Assessment, Development, and Evaluation (GRADE) approach will be used to evaluate the evidence quality. Network meta-analysis will be applied to evaluate the therapeutic effect of different autologous grafts. The main outcome measures are IKDC score, clinical failure rate, Lachman test, Lysholm score, and the incidence of complications. Odds ratio and its 95% confidence interval will be used to synthesize the dichotomy results, while the mean difference and 95% confidence interval of continuous variables will be used for continuous variables. RESULTS: This study will provide comprehensive evidence for the application of autologous grafts in ACLR. CONCLUSION: The results of this study will help clinicians make appropriate decisions. PROTOCOL REGISTRATION NUMBER: INPLASY202090061.",2020,"Jin JX, Fang PZ, Hu ZW, Chen JL, Wang RR, Wang X",Jin,Fang,6,"Jin et al., 2020"
38,32813044,2021 Jun,2020 Aug 19,Knee Surg Sports Traumatol Arthrosc,"['Yan L', 'Li JJ', 'Zhu Y', 'Liu H', 'Liu R', 'Zhao B', 'Wang B']",Wang B,Interference screws are more likely to perform better than cortical button and cross-pin fixation for hamstring autograft in ACL reconstruction: a Bayesian network meta-analysis.,29,6,1850-1861,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Systematic Review', 'Network Meta-Analysis']",PubMed - indexed for MEDLINE,ppublish+epublish,"['32813044', '10.1007/s00167-020-06231-x', '10.1007/s00167-020-06231-x']",10.1007/s00167-020-06231-x,"['2020/04/22 00:00', '2020/08/10 00:00', '2020/08/20 06:00', '2021/06/22 06:00', '2020/08/20 06:00']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1007/s00167-020-06231-x,2021 Jun;29(6):1850-1861,"PURPOSE: Anterior cruciate ligament (ACL) reconstruction is widely accepted as the first choice of treatment for ACL injury, but there is disagreement in the literature regarding the optimal femoral fixation method. This meta-analysis assesses the evidence surrounding three common femoral fixation methods: cortical button (CB), cross-pin (CP) and interference screws (IS). METHODS: A systematic search was conducted in Medline, EMBASE and the Cochrane Library to identify studies with evidence level I or II that compared at least two femoral fixation methods with hamstring autograft for ACL reconstruction. Ten primary outcomes were collected. Risk of bias was assessed following the Cochrane Handbook for Systematic Reviews of Interventions. Standardized mean differences (SMD) were estimated using random-effects network meta-analysis in a Bayesian framework. Probability of ranking best (ProBest) and surface under the cumulative ranking curve (SUCRA) were used to rank all treatments. Funnel plots were used to identify publication bias and small-study effects. RESULTS: Sixteen clinical trials were included for analysis out of 2536 retrieved studies. Bayesian network meta-analysis showed no significant differences among the three fixation methods for the ten primary outcome measures. Based on the 10 outcome measures, the IS, CB and CP had the highest ProBest in 5, 5 and 0 outcomes, and the highest SUCRA values in 5, 4 and 1 outcomes, respectively. No substantial inconsistency between direct and indirect evidence, or publication bias was detected in the outcomes. CONCLUSION: There were no statistical differences in performance among the CP, CB and IS femoral fixation methods with hamstring autograft in ACL reconstruction, although the IS was more likely to perform better than CB and CP based on the analysis of outcome measures from the included studies. LEVEL OF EVIDENCE: 1.",2021,"Yan L, Li JJ, Zhu Y, Liu H, Liu R, Zhao B, Wang B",Yan,Li,7,"Yan et al., 2021"
39,32502016,2020 Jun 5,,Medicine (Baltimore),"['Wang N', 'Zhu Z', 'Wu Z', 'He H', 'Wang H', 'Li W', 'Xie D', 'Wang Y']",Wang Y,Comparative risk-benefit profiles of different femoral drilling techniques in anterior cruciate ligament reconstruction: A protocol for a systematic review and network meta-analysis.,99,23,e20544,['English'],2985248R,0025-7974,1536-5964,['Journal Article'],PubMed - indexed for MEDLINE,ppublish,"['32502016', 'PMC7306331', 'pmc-id: PMC7306331;', '10.1097/MD.0000000000020544', '00005792-202006050-00054']",10.1097/MD.0000000000020544,"['2020/06/06 06:00', '2020/06/06 06:00', '2020/06/23 06:00', '2020/06/05 00:00']",[],1,37,Medicine,doi: 10.1097/MD.0000000000020544,2020 Jun 5;99(23):e20544,"BACKGROUND: Anterior cruciate ligament (ACL) injury experiences about 200,000 isolated cases annually, and ACL reconstruction has become the gold standard for the restoration of stability and functionality. In view of that incorrect graft placement is a common cause of ACL reconstruction failure, it is critically important to ensure that the tibial and femoral tunnels are properly placed during the operation. Therefore, we intend to conduct a network meta-analysis to comparatively evaluate the clinical outcomes among the different surgical techniques in ACL reconstruction. METHODS: Embase, PubMed, and Cochrane Library will be searched through to retrieve the relevant literature up to April 2020. The outcomes include the International Knee Documentation Committee subjective/objective score, Lachman test, Lysholm score, laxity of knee joint, pivot-shift test, Tegner activity scale, and the number of adverse events. A Bayesian hierarchical framework will be used to evaluate the comparative efficacy among different fixation devices. Cochrane Q test and I statistics will be applied to evaluate the heterogeneity, and the Cochrane risk of bias assessment tool will be employed to evaluate the study quality and the risk of bias. RESULTS: The comparative risk-benefit profiles of different femoral drilling techniques will be evaluated based on the existing evidence, in order to summarize a prioritization regimen. CONCLUSION: Findings from this network meta-analysis will provide useful reference to patients, surgeons, and guideline makers in the related fields. REGISTRATION: Open Science Framework (OSF) Preregistration. April 20, 2020. osf.io/uzahs.",2020,"Wang N, Zhu Z, Wu Z, He H, Wang H, Li W, Xie D, Wang Y",Wang,Zhu,8,"Wang et al., 2020"
40,32367221,2020 Oct,2020 May 4,Eur J Orthop Surg Traumatol,"['Migliorini F', 'Eschweiler J', 'Mansy YE', 'Quack V', 'Tingart M', 'Driessen A']",Driessen A,Quadriceps tendon autograft for primary ACL reconstruction: a Bayesian network meta-analysis.,30,7,1129-1138,['English'],9518037,1633-8065,1432-1068,"['Journal Article', 'Review', 'Network Meta-Analysis']",PubMed - indexed for MEDLINE,ppublish+epublish,"['32367221', 'PMC8215032', 'pmc-id: PMC8215032;', '10.1007/s00590-020-02680-9', '10.1007/s00590-020-02680-9']",10.1007/s00590-020-02680-9,"['2020/02/25 00:00', '2020/04/22 00:00', '2020/05/06 06:00', '2021/08/19 06:00', '2020/05/06 06:00', '2020/05/04 00:00']",['Eur J Orthop Surg Traumatol. 2021 Aug;31(6):1261. doi: 10.1007/s00590-021-03028-7. PMID: 34151401'],1,63,European journal of orthopaedic surgery & traumatology : orthopedie traumatologie,doi: 10.1007/s00590-020-02680-9,2020 Oct;30(7):1129-1138,"BACKGROUND: The purpose of the current study was to clarify the role of the quadriceps tendon (QT) autograft for primary ACL reconstruction. Thus, a Bayesian network meta-analysis comparing patients undergoing a primary ACL reconstruction with QT versus patellar tendon (PT) and hamstring tendon (HT) autografts was conducted. MATERIAL AND METHODS: This Bayesian network meta-analysis was conducted according to the PRISMA extension statement for reporting systematic reviews incorporating network meta-analyses of health care interventions. In January 2020, the main databases were accessed. Articles comparing the outcomes of the QT autograft versus HT autograft and/or PT autograft for primary ACL reconstruction were included in the present study. The statistical analysis was performed with STATA Software/MP, through a Bayesian hierarchical random-effect model analysis. RESULTS: Data from a total of 2603 knees were analysed. The overall mean follow-up was 35.0 months. Among the different grafts were evidenced comparable values of IKDC, Tegner and Lysholm score. The QT autograft detected comparable rate of Lachman test > 3 mm, Pivot shift test > 3 m and instrumental laxity > 3 mm. The QT autograft showed a lower rate of autograft failure above all. The QT autograft detected the reduced rate of AKP than the PT. CONCLUSION: Quadriceps tendon autograft may represent a feasible option for primary ACL reconstruction. These results must be interpret within the limitations of the present network meta-anlaysis.",2020,"Migliorini F, Eschweiler J, Mansy YE, Quack V, Tingart M, Driessen A",Migliorini,Eschweiler,6,"Migliorini et al., 2020"
41,32360701,2020 Jul,2020 Apr 29,Arthroscopy,"['Wang Y', 'Lei G', 'Zeng C', 'Wei J', 'He H', 'Li X', 'Zhu Z', 'Wang H', 'Wu Z', 'Wang N', 'Ding X', 'Li H']",Li H,Comparative Risk-Benefit Profiles of Individual Devices for Graft Fixation in Anterior Cruciate Ligament Reconstruction: A Systematic Review and Network Meta-analysis.,36,7,1953-1972,['English'],8506498,0749-8063,1526-3231,"['Comparative Study', 'Journal Article', 'Systematic Review', 'Network Meta-Analysis']",PubMed - indexed for MEDLINE,ppublish+epublish,"['32360701', '10.1016/j.arthro.2020.04.023', 'S0749-8063(20)30339-X']",10.1016/j.arthro.2020.04.023,"['2019/09/28 00:00', '2020/04/05 00:00', '2020/04/10 00:00', '2020/05/04 06:00', '2021/01/13 06:00', '2020/05/04 06:00']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2020.04.023,2020 Jul;36(7):1953-1972,"PURPOSE: To compare the efficacy and safety of individual devices for femoral and/or tibial graft fixation in anterior cruciate ligament (ACL) reconstruction. METHODS: The PubMed, Embase, Cochrane Library, and Web of Science databases were searched from inception to December 12, 2018. Randomized controlled trials comparing individual devices for ACL graft fixation were included. Bayesian network meta-analysis was performed to assess the efficacy profile using the following outcomes: Lysholm score, International Knee Documentation Committee (IKDC) category, laxity, range of motion, and Tegner score. The incidence of infection, effusion, and graft rupture for each device was reported. RESULTS: We included 57 randomized controlled trials involving 4,304 patients aged 23.8 to 40.9 years. The female proportion ranged from 0% to 100%. The length of follow-up ranged from 6 to 144 months. Of the 13 studied femoral fixation devices, none was significantly different from the others regarding the Lysholm score, IKDC category, range of motion, and Tegner score. Bioabsorbable interference screws (standardized mean difference, 1.3; 95% credible interval, 0.0-2.5) showed higher laxity than the EndoPearl at a borderline level of statistical significance, but the difference varied substantially within multiple sensitivity analyses. Infection (2.0%) was most commonly seen with the EndoPearl, whereas the bone mulch screw had the highest incidence of effusion (5.5%) and graft rupture (5.5%). For the 9 studied tibial fixation devices, no significant difference was observed in the aforementioned efficacy measurements. Bioabsorbable interference screws with staples had the highest incidence of infection (11.1%) and effusion (15.6%), whereas graft rupture was most commonly seen with the bone plug (4.0%). CONCLUSIONS: Graft fixation devices in ACL reconstruction share a similar efficacy profile in terms of the Lysholm score, IKDC category, range of motion, and Tegner score but not laxity. On the other hand, safety profiles seem to vary among different devices. These findings can support surgeons, alongside their experience and preference, as well as the relative cost of each device, in delivering an individualized plan for an optimal operation. LEVEL OF EVIDENCE: Level II, meta-analysis of Level I and II studies.",2020,"Wang Y, Lei G, Zeng C, Wei J, He H, Li X, Zhu Z, Wang H, Wu Z, Wang N, Ding X, Li H",Wang,Lei,12,"Wang et al., 2020"
42,31858199,2020 Feb,2019 Dec 19,Int Orthop,"['Yang XG', 'Wang F', 'He X', 'Feng JT', 'Hu YC', 'Zhang H', 'Yang L', 'Hua K']",Hua K,Network meta-analysis of knee outcomes following anterior cruciate ligament reconstruction with various types of tendon grafts.,44,2,365-380,['English'],7705431,0341-2695,1432-5195,"['Journal Article', 'Review', 'Network Meta-Analysis']",PubMed - indexed for MEDLINE,ppublish+epublish,"['31858199', '10.1007/s00264-019-04417-8', '10.1007/s00264-019-04417-8']",10.1007/s00264-019-04417-8,"['2019/06/20 00:00', '2019/09/13 00:00', '2019/12/21 06:00', '2020/09/26 06:00', '2019/12/21 06:00']",[],1,0,International orthopaedics,doi: 10.1007/s00264-019-04417-8,2020 Feb;44(2):365-380,"PURPOSE: Various grafts were selected for restoring knee stability and regaining pre-injury activity levels after anterior cruciate ligament (ACL) rupture. This review aimed to compare the short-term knee outcomes of different tendon grafts for primary ACL reconstruction (ACLR). METHODS: Databases of PubMed, Embase, and CENTRAL were retrieved for identifying the published RCT comparing the short-term (</= 2 years) knee outcomes of different tendon grafts for ACLR. The main outcomes include the International Knee Documentation Committee (IKDC) subjective and objective scores, side-to-side difference on knee laxity, Lachman test, pivot-shift test, Lysholm score, Tegner score, all recorded complications and graft re-ruptures. RESULTS: A total of 32 trials involving 2962 patients and 17 grafts were included. Superior IKDC subjective score was found for quadriceps tendon autograft (QTB) when compared with autografts including bone-patellar tendon-bone (BPTB), four-strand hamstring tendon (4S-HT), and double-bundle HT. The 4S-HT autograft was associated with poorer anteroposterior and rotational knee stability than the BPTB autograft. Artificial ligament also was found to provide lower knee stability compared with the autografts including the BPTB, patellar tendon, 4S-HT, 4S-HT with preserved tibial insertion, 6S-HT, and four-strand semitendinosus tendon. Additionally, the BPTB allograft showed a statistically higher knee laxity than 6S-HT allograft, while no difference was found between the genuine autografts and non-irradiated allografts. CONCLUSIONS: QTB was recommended to be used even over the BPTB and 4S-HT autografts. BPTB autograft was more effective on restoring the knee stability than 4S-HT autograft. Non-irradiated allografts could be safely used as alternatives to autografts. However, artificial ligaments were not recommended for primary ACLR for significantly increased risk of knee laxity.",2020,"Yang XG, Wang F, He X, Feng JT, Hu YC, Zhang H, Yang L, Hua K",Yang,Wang,8,"Yang et al., 2020"
43,30896646,2019 Mar,,Medicine (Baltimore),"['Jin J', 'Yu L', 'Wei M', 'Shang Y', 'Wang X']",Wang X,Comparison of efficacy and safety of different fixation devices for anterior cruciate ligament reconstruction: A Bayesian network meta-analysis protocol.,98,12,e14911,['English'],2985248R,0025-7974,1536-5964,['Journal Article'],PubMed - indexed for MEDLINE,ppublish,"['30896646', 'PMC6709171', 'pmc-id: PMC6709171;', '10.1097/MD.0000000000014911', '00005792-201903220-00035']",10.1097/MD.0000000000014911,"['2019/03/22 06:00', '2019/03/22 06:00', '2019/04/10 06:00', '2019/03/22 00:00']",[],1,34,Medicine,doi: 10.1097/MD.0000000000014911,2019 Mar;98(12):e14911,"BACKGROUND: Anterior cruciate ligament (ACL) injury is a common ligament injury to the knee joint, and often lead to limited function, osteoarthritis after knee trauma, secondary damage to meniscus and cartilage, and impaired quality of life. ACL reconstruction is the gold standard surgical treatment for ACL injury, and ligament fixation after reconstruction is the key factor of ACL reconstruction success. However, the optimal fixation device for ACL reconstruction remains unclear. This study aims to evaluate the efficacy and safety of different fixation devices and to find the best fixation device for ACL reconstruction. METHODS: The PubMed, EMBASE, Cochrane Central Register of Controlled Trials (CENTRAL), and Chinese Biomedicine Literature will be searched to identify relevant studies from inception to December 2018. We will include randomized controlled trials (RCTs) comparing the effects of different fixation devices fixed on the femoral side in arthroscopically assisted ACL reconstruction. Risk of bias assessment of the included RCTs will be conducted according to the Cochrane Handbook 5.1.0. A Bayesian network meta-analysis (NMA) will be performed using R software. RESULTS: The results of this NMA will be submitted to a peer-reviewed journal for publication. CONCLUSION: This NMA will summarize the direct and indirect evidence to evaluate the effect of different fixation devices for ACL reconstruction.",2019,"Jin J, Yu L, Wei M, Shang Y, Wang X",Jin,Yu,5,"Jin et al., 2019"
