CENTRAL ID,Author(s),Title,Source,Year,Abstract,Volume,Issue,Pages,Database Name,PubMed ID,Embase ID,CTgov ID,CINAHL ID,ICTRP ID,Publication Type,Keywords,DOI,URL,Cochrane Review Group Code
"CN-01650849","Bi, M; Zhao, C; Zhang, S; Yao, B; Hong, Z; Bi, Q","All-Inside Single-Bundle Reconstruction of the Anterior Cruciate Ligament with the Anterior Half of the Peroneus Longus Tendon Compared to the Semitendinosus Tendon: a Two-Year Follow-Up Study","Journal of knee surgery","2018","The anterior half of the peroneus longus tendon (AHPLT) has been reported to be acceptable for ligament reconstruction with respect to strength and safety. However, there is little information regarding the clinical outcomes after using the AHPLT compared with other autograft tendons. A prospective randomized controlled study was performed to compare the results of 62 cases of all‐inside anatomical single‐bundle anterior cruciate ligament (ACL) reconstruction using the AHPLT and 62 cases using semitendinosus graft with an average of 30.0 ± 3.6 months' follow‐up. Tunnel placements of enrolled cases were measured on three‐dimensional (3D) computed tomography (CT) and X‐ray imaging. Knee stability was assessed using the anterior drawer test, pivot shift test, and KT‐1000. The International Knee Documentation Committee (IKDC) 2000 subjective score was used to evaluate functional outcomes. The American Orthopedic Foot and Ankle Score (AOFAS) and the assessment of eversion muscle strength were performed to evaluate the function of the ankle donor site. Tunnel positions, which were confirmed with 3D CT, were in the anatomical positions. At the final follow‐up, there were no significant differences between the semitendinosus group and the AHPLT group in the IKDC score (90.4 ± 7.1 vs. 89.3. ± 8.4), KT 1000 measurements (1.71 ± 0.57 vs. 1.85 ± 0.77), pivot shift test, and Visual Analogue Scale (VAS) (0.15 ± 0.36 vs. 0.10 ± 0.30). No obvious ankle site complications were found at 24 months. The average AOFAS score of the AHPLT group was comparable to that of the semitendinosus tendon group (99.1 ± 1.40 vs. 99.5 ± 1.21). There was no significant difference in clinical outcomes or knee stability between the semitendinosus group and the AHPLT group at the 2‐year follow‐up. An AHPLT autograft may be a good alternative for all‐inside ACL reconstruction with respect to its strength, safety, and donor site morbidity.","31","10","1022‐1030","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 29421837","EMBASE 624528661",,,,"Journal article","*anterior cruciate ligament reconstruction; *follow up; *semitendinous muscle; *tendon graft; Adult; Ankle; Anterior Cruciate Ligament Injuries [*surgery]; Anterior Cruciate Ligament Reconstruction [*methods]; Anterior Cruciate Ligament [*surgery]; Anterior cruciate ligament; Arthrometer; Article; Clinical outcome; Complication; Computer assisted tomography; Controlled study; Documentation; Donor site; Female; Follow‐Up Studies; Foot; Hamstring Tendons [transplantation]; Human; Humans; Knee Joint [surgery]; Knee instability; Major clinical study; Male; Morbidity; Muscle Strength; Muscle strength; Prospective Studies; Prospective study; Radiography; Randomized controlled trial; Tendons [*transplantation]; Transplant Donor Site; Transplantation, Autologous; Visual analog scale; Young Adult","10.1055/s-0038-1627466","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01650849/full",
"CN-03021347","Malik, S; Biswas, G; Singh, SK; Sundaresan, N; Bera, AP; Kyada, M","Comparative Evaluation of Peroneus Longus Tendon and Hamstring Tendon Autografts in Primary Anterior Cruciate Ligament Reconstruction: a Randomized Controlled Trial","Journal of orthopaedic case reports","2026","INTRODUCTION: Anterior cruciate ligament (ACL) injury remains one of the most common causes of functional knee instability among young and active individuals. Autografts, especially hamstring tendon (HT) grafts, have long been considered the standard of care; however, concerns regarding variable graft diameter, harvest‐related muscle weakness, and donor‐site morbidity have led to interest in alternative grafts. The peroneus longus tendon (PLT) has gained attention due to its adequate length, favorable biomechanical strength, and minimal functional deficit at the donor site. This randomized controlled trial compared the clinical, functional, and stability outcomes of PLT autografts with HT autografts in primary ACL reconstruction. MATERIALS AND METHODS: A prospective randomized controlled trial was conducted on 50 patients undergoing primary ACL reconstruction. Participants were randomized into two equal groups: Group A received PLT autograft (n = 25), and Group B received HT autograft (n = 25). Baseline characteristics, intraoperative parameters, post‐operative pain, knee stability, donor‐site morbidity, and functional outcomes were assessed using International Knee Documentation Committee (IKDC), Lysholm, and Tegner scores at 3 and 6 months. KT‐1000 arthrometer measurements, Lachman and pivot‐shift tests were used for objective stability assessment. Data were analyzed using the Statistical Package for the Social Sciences, with P < 0.05 considered statistically significant. RESULTS: Baseline demographic variables were comparable between groups. PLT grafts demonstrated significantly larger mean graft diameter (8.9 ± 0.6 mm) compared to HT grafts (8.1 ± 0.7 mm; P = 0.001). Operative time was significantly shorter in the PLT group (78.6 ± 11.3 min vs. 86.2 ± 12.7 min; P = 0.02). Early post‐operative pain scores were lower in the PLT group (P < 0.05). At 6 months, the PLT group showed significantly higher IKDC (82.6 ± 6.3 vs. 78.9 ± 7.4; P = 0.04) and Lysholm scores (89.4 ± 5.8 vs. 85.1 ± 6.4; P = 0.03). Knee stability outcomes, including Lachman grade, pivot shift, and KT‐1000 measurements, were comparable across groups. Donor‐site morbidity was significantly lower in the PLT group, with minimal ankle strength deficit compared to notable hamstring weakness in the HT group. Complication rates were low and similar across both groups. CONCLUSION: PLT autograft demonstrated larger graft diameter, reduced post‐operative pain, better early functional outcomes, and lower donor‐site morbidity compared with the traditional hamstring autograft while maintaining equivalent knee stability. PLT appears to be a reliable and effective graft option for primary ACL reconstruction, especially in individuals where preservation of hamstring strength is desirable.","16","5","320‐328","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 42131028",,,,,"Journal article",,"10.13107/jocr.2026.v16.i05.7294","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-03021347/full",
