,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract,year
0,42428404,2026 Jul,,J Orthop Case Rep,"['Khatun A', 'Sharma S', 'Singh RR']",Singh RR,Letter to Editor: Comparative Evaluation of Peroneus Longus Tendon and Hamstring Tendon Autografts in Primary Anterior Cruciate Ligament Reconstruction: A Randomized Controlled Trial.,16,7,601-602,['English'],101641392,2250-0685,2321-3817,['Letter'],PubMed,ppublish,"['42428404', 'PMC13348619', 'pmc-id: PMC13348619;', '10.13107/jocr.2026.v16.i07.7762', 'JOCR-16-7-601']",10.13107/jocr.2026.v16.i07.7762,"['2026/06/26 00:00', '2026/06/27 00:00', '2026/07/10 06:36', '2026/07/10 06:35', '2026/07/10 05:16', '2026/07/01 00:00']",[],0,6,Journal of orthopaedic case reports,doi: 10.13107/jocr.2026.v16.i07.7762,2026 Jul;16(7):601-602,,2026
1,42131028,2026 May,,J Orthop Case Rep,"['Malik S', 'Biswas G', 'Singh SK', 'Sundaresan N', 'Bera AP', 'Kyada M']",Kyada M,Comparative Evaluation of Peroneus Longus Tendon and Hamstring Tendon Autografts in Primary Anterior Cruciate Ligament Reconstruction: A Randomized Controlled Trial.,16,5,320-328,['English'],101641392,2250-0685,2321-3817,['Journal Article'],PubMed,ppublish,"['42131028', 'PMC13161974', 'pmc-id: PMC13161974;', '10.13107/jocr.2026.v16.i05.7294', 'JOCR-16-5-320']",10.13107/jocr.2026.v16.i05.7294,"['2026/02/23 00:00', '2026/03/18 00:00', '2026/05/14 14:22', '2026/05/14 14:21', '2026/05/14 04:49', '2026/05/01 00:00']",[],1,20,Journal of orthopaedic case reports,doi: 10.13107/jocr.2026.v16.i05.7294,2026 May;16(5):320-328,"INTRODUCTION: Anterior cruciate ligament (ACL) injury remains one of the most common causes of functional knee instability among young and active individuals. Autografts, especially hamstring tendon (HT) grafts, have long been considered the standard of care; however, concerns regarding variable graft diameter, harvest-related muscle weakness, and donor-site morbidity have led to interest in alternative grafts. The peroneus longus tendon (PLT) has gained attention due to its adequate length, favorable biomechanical strength, and minimal functional deficit at the donor site. This randomized controlled trial compared the clinical, functional, and stability outcomes of PLT autografts with HT autografts in primary ACL reconstruction. MATERIALS AND METHODS: A prospective randomized controlled trial was conducted on 50 patients undergoing primary ACL reconstruction. Participants were randomized into two equal groups: Group A received PLT autograft (n = 25), and Group B received HT autograft (n = 25). Baseline characteristics, intraoperative parameters, post-operative pain, knee stability, donor-site morbidity, and functional outcomes were assessed using International Knee Documentation Committee (IKDC), Lysholm, and Tegner scores at 3 and 6 months. KT-1000 arthrometer measurements, Lachman and pivot-shift tests were used for objective stability assessment. Data were analyzed using the Statistical Package for the Social Sciences, with P < 0.05 considered statistically significant. RESULTS: Baseline demographic variables were comparable between groups. PLT grafts demonstrated significantly larger mean graft diameter (8.9 +/- 0.6 mm) compared to HT grafts (8.1 +/- 0.7 mm; P = 0.001). Operative time was significantly shorter in the PLT group (78.6 +/- 11.3 min vs. 86.2 +/- 12.7 min; P = 0.02). Early post-operative pain scores were lower in the PLT group (P < 0.05). At 6 months, the PLT group showed significantly higher IKDC (82.6 +/- 6.3 vs. 78.9 +/- 7.4; P = 0.04) and Lysholm scores (89.4 +/- 5.8 vs. 85.1 +/- 6.4; P = 0.03). Knee stability outcomes, including Lachman grade, pivot shift, and KT-1000 measurements, were comparable across groups. Donor-site morbidity was significantly lower in the PLT group, with minimal ankle strength deficit compared to notable hamstring weakness in the HT group. Complication rates were low and similar across both groups. CONCLUSION: PLT autograft demonstrated larger graft diameter, reduced post-operative pain, better early functional outcomes, and lower donor-site morbidity compared with the traditional hamstring autograft while maintaining equivalent knee stability. PLT appears to be a reliable and effective graft option for primary ACL reconstruction, especially in individuals where preservation of hamstring strength is desirable.",2026
2,39714511,2024 Dec 23,2024 Dec 23,Arch Orthop Trauma Surg,"['Butt U', 'Vuletic F', 'Shaikh MAA', 'Amanullah', 'Rehman GU', 'Shah IA', 'Stålman A', 'Khan ZA']",Khan ZA,5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial.,145,1,85,['English'],9011043,0936-8051,1434-3916,"['Journal Article', 'Randomized Controlled Trial', 'Comparative Study']",PubMed - indexed for MEDLINE,epublish,"['39714511', 'PMC11666688', 'pmc-id: PMC11666688;', '10.1007/s00402-024-05639-1', '10.1007/s00402-024-05639-1']",10.1007/s00402-024-05639-1,"['2024/08/03 00:00', '2024/10/29 00:00', '2024/12/23 12:22', '2024/12/23 12:21', '2024/12/23 11:05', '2024/12/23 00:00']",[],1,34,Archives of orthopaedic and trauma surgery,doi: 10.1007/s00402-024-05639-1,2024 Dec 23;145(1):85,"AIMS: This study presents clinical outcomes, functional results, and return to sports after anterior cruciate ligament (ACL) reconstruction using quadruple hamstring tendon autograft or peroneus longus tendon autograft in a randomized controlled trial. PATIENTS AND METHODS: Between February 2018 and July 2019, patients who underwent ACL reconstruction were randomly assigned to two groups: hamstring and peroneus longus. Patient related outcome measurements and pain intensity were evaluated using IKDC, Lysholm, and visual analog scores at 3 and 6 months, 1, 2, and 5 years after the surgery. At the 5 year follow-up, anterior stability was tested using the 3D printable Knee Arthrometer. In addition, in the peroneus longus group, ankle functional assessment was performed using the American foot and ankle score. Additionally, data on the return to sports/activities was collected for both groups at the last follow-up. RESULTS: Sixty patients, with 30 in the hamstring group and 30 in the peroneus group, were included in the study. Patients were predominately male and with low activity demands. After five years of follow-up, there was no significant difference in functional assessment scores (IKDC and Lysholm) between the two groups (P n.s). The median graft diameter was 7.9 +/- 0.4 mm in the hamstring tendon group and 8.9 +/- 0.2 mm in the PL group (P < 0.001). The improvement in Arthrometer testing measurements (AMT) for the operated knees in the hamstring and peroneus longus groups were similar. In the peroneus longus group, the mean postoperative foot and ankle score was 98.6 +/- 3.9 (range = 85-100). CONCLUSION: Using Peroneus longus tendon autograft for arthroscopic ACL reconstruction is a feasible alternative as studied in this cohort of predominately male patients with low activity demands. The graft diameter in this study was sufficient, and the results regarding laxity and patient related outcome measurements were similar to those achieved with hamstring tendon autografts. LEVEL OF EVIDENCE: Level I TRIAL REGISTRATION: ChiCTR2000036989.",2024
3,29421837,2018 Nov,2018 Feb 8,J Knee Surg,"['Bi M', 'Zhao C', 'Zhang S', 'Yao B', 'Hong Z', 'Bi Q']",Bi Q,All-Inside Single-Bundle Reconstruction of the Anterior Cruciate Ligament with the Anterior Half of the Peroneus Longus Tendon Compared to the Semitendinosus Tendon: A Two-Year Follow-Up Study.,31,10,1022-1030,['English'],101137599,1538-8506,1938-2480,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['29421837', '10.1055/s-0038-1627466']",10.1055/s-0038-1627466,"['2018/02/09 06:00', '2019/01/01 06:00', '2018/02/09 06:00']",[],1,0,The journal of knee surgery,doi: 10.1055/s-0038-1627466,2018 Nov;31(10):1022-1030,"The anterior half of the peroneus longus tendon (AHPLT) has been reported to be acceptable for ligament reconstruction with respect to strength and safety. However, there is little information regarding the clinical outcomes after using the AHPLT compared with other autograft tendons. A prospective randomized controlled study was performed to compare the results of 62 cases of all-inside anatomical single-bundle anterior cruciate ligament (ACL) reconstruction using the AHPLT and 62 cases using semitendinosus graft with an average of 30.0 +/- 3.6 months' follow-up. Tunnel placements of enrolled cases were measured on three-dimensional (3D) computed tomography (CT) and X-ray imaging. Knee stability was assessed using the anterior drawer test, pivot shift test, and KT-1000. The International Knee Documentation Committee (IKDC) 2000 subjective score was used to evaluate functional outcomes. The American Orthopedic Foot and Ankle Score (AOFAS) and the assessment of eversion muscle strength were performed to evaluate the function of the ankle donor site. Tunnel positions, which were confirmed with 3D CT, were in the anatomical positions. At the final follow-up, there were no significant differences between the semitendinosus group and the AHPLT group in the IKDC score (90.4 +/- 7.1 vs. 89.3. +/- 8.4), KT 1000 measurements (1.71 +/- 0.57 vs. 1.85 +/- 0.77), pivot shift test, and Visual Analogue Scale (VAS) (0.15 +/- 0.36 vs. 0.10 +/- 0.30). No obvious ankle site complications were found at 24 months. The average AOFAS score of the AHPLT group was comparable to that of the semitendinosus tendon group (99.1 +/- 1.40 vs. 99.5 +/- 1.21). There was no significant difference in clinical outcomes or knee stability between the semitendinosus group and the AHPLT group at the 2-year follow-up. An AHPLT autograft may be a good alternative for all-inside ACL reconstruction with respect to its strength, safety, and donor site morbidity.",2018
